anfitriao_id,anf_data_cadastro,id_anuncio,nome_anuncio,bairro,tipo_propriedade,tipo_acomodacao,numero_hospedes,quartos,camas,preco,min_noites,max_noites,disponivel,numero_avaliaçoes,pontuacao_avaliacoes,confirmacao_instantanea
32683315,2015-05-05,6314480,Apartameno novo em frente a PRAIA,Barra da Tijuca,Entire rental unit,Entire home/apt,6,3.0,5.0,450.0,2,1125,t,75,4.7,t
12967105,2014-03-09,6317024,Loft Barra,Barra da Tijuca,Entire loft,Entire home/apt,4,1.0,2.0,201.0,2,1125,t,78,4.72,f
32902435,2015-05-08,6322903,Copacabana Reformado 150m da praia,Copacabana,Entire condominium (condo),Entire home/apt,7,2.0,6.0,500.0,1,730,t,3,4.0,f
13299199,2014-03-19,6335642,Stunning Studio in Copacabana,Copacabana,Entire rental unit,Entire home/apt,5,1.0,3.0,150.0,3,1125,t,56,4.95,f
32987257,2015-05-09,6353956,"Copacabana 2 bedrooms, building in front of the beach, wi-fi",Copacabana,Entire rental unit,Entire home/apt,7,2.0,4.0,188.0,3,360,t,153,4.56,t
33146923,2015-05-11,6362203,"Amazing location,  steps away from 3 beaches.",Copacabana,Entire rental unit,Entire home/apt,6,2.0,3.0,600.0,5,20,t,0,,f
11070008,2014-01-06,6388485,2BR Copacabana near Ipanema and Arpoador,Copacabana,Entire rental unit,Entire home/apt,7,2.0,3.0,214.0,3,90,t,77,4.56,f
14082204,2014-04-09,6388511,Cozy one bed flat in Copacabana,Copacabana,Entire rental unit,Entire home/apt,2,1.0,1.0,142.0,1,1125,t,4,4.5,f
33349405,2015-05-14,6395911,Conjugado simples em Copacabana,Copacabana,Entire rental unit,Entire home/apt,4,,2.0,136.0,1,1125,t,1,5.0,f
33380740,2015-05-14,6401577,Copacabana Apartament.,Copacabana,Entire rental unit,Entire home/apt,5,2.0,0.0,879.0,5,60,t,6,4.8,f
11510314,2014-01-21,6409487,Room in Ipanema,Ipanema,Private room in rental unit,Private room,2,1.0,1.0,350.0,5,1125,t,20,4.47,f
33433112,2015-05-15,6410210,Alugo temporada para Olimpíadas,Barra da Tijuca,Entire rental unit,Entire home/apt,5,2.0,2.0,1100.0,1,1125,t,1,5.0,f
