anfitriao_id,anfitriao_nome,anf_data_cadastro,anf_tempo_resposta,anf_taxa_resposta,anf_taxa_aceitacao,super_anfitriao,anf_bairro,anf_num_total_anuncios,anf_foto_perfil,anf_identidade_verificada
842466,Wolfgang,2011-07-20,within an hour,100%,67%,t,Copacabana,1.0,t,t
856145,Mario,2011-07-23,within an hour,100%,94%,t,Copacabana,3.0,t,f
868175,Yann,2011-07-25,within an hour,100%,70%,t,Copacabana,2.0,t,t
896919,Mauro,2011-07-31,,,,f,Centro,1.0,t,f
211028,Lisa,2010-08-24,,,,f,Santa Teresa,2.0,t,f
617333,Luis,2011-05-23,within an hour,96%,88%,f,Copacabana,3.0,t,t
918340,Flávia,2011-08-03,,,0%,t,Botafogo,2.0,t,t
823800,Rafaella,2011-07-15,within a few hours,94%,83%,f,Ipanema,30.0,t,t
929229,Arlete,2011-08-06,,,,f,Humaitá,4.0,t,t
937397,Adriano,2011-08-07,within an hour,90%,93%,f,Ipanema,3.0,t,t
955720,Priscilla,2011-08-11,within an hour,100%,,f,Copacabana,1.0,t,f
969822,Lucia,2011-08-14,within a few hours,100%,0%,f,Marechal Hermes,3.0,t,f
969899,Josevalda,2011-08-14,,,,f,Jardim Botânico,1.0,t,f
980805,Henrique,2011-08-16,within an hour,100%,97%,t,Ipanema,7.0,t,t
984392,Mrs. Cindy,2011-08-17,,,,f,Laranjeiras,1.0,t,f
985704,Ana Maria,2011-08-17,,,,f,,1.0,t,t
961863,Caesar,2011-08-12,a few days or more,0%,,f,Copacabana,1.0,t,f
529105,Alex,2011-04-23,within an hour,100%,78%,t,Copacabana,4.0,t,t
999125,Alastair,2011-08-21,,,,f,Ipanema,1.0,t,t
1005728,Humphry,2011-08-22,,,50%,f,Glória,4.0,t,t
1030316,Elizabeth,2011-08-28,,,100%,f,Copacabana,4.0,t,t
2182548,Naiana,2012-04-20,within a few hours,95%,47%,f,,1.0,t,f
1154263,"Zeilma , Da",2011-09-13,,,,f,Flamengo,1.0,t,t
1118486,Moara,2011-09-06,,,0%,f,Laranjeiras,5.0,t,t
1134264,Ricardo,2011-09-09,within an hour,100%,100%,f,Santa Teresa,2.0,t,t
1142424,Taciana,2011-09-11,a few days or more,0%,75%,f,Tijuca,2.0,t,t
1144461,Rachel,2011-09-11,within a day,100%,50%,f,Copacabana,2.0,t,t
503995,❤️ BrUx ❤️,2011-04-12,within an hour,100%,99%,t,Ipanema,7.0,t,t
1159474,Elias,2011-09-14,within an hour,100%,0%,f,Flamengo,1.0,t,t
1207700,Maria Luiza,2011-09-25,within an hour,100%,74%,t,Copacabana,4.0,t,t
1208327,Christian,2011-09-25,within an hour,98%,99%,t,,2.0,t,t
1241662,Nilda,2011-10-03,within an hour,100%,100%,t,Copacabana,1.0,t,t
235496,Paola & Isak,2010-09-15,within an hour,100%,100%,t,Copacabana,5.0,t,t
1286915,Luciane,2011-10-13,within a day,100%,100%,f,Glória,2.0,t,t
1289982,Carnaval Turismo,2011-10-14,within a few hours,67%,0%,f,Copacabana,1.0,t,f
1295841,Osmar,2011-10-15,within a day,50%,0%,f,Botafogo,1.0,t,f
1298591,Karina,2011-10-16,within an hour,100%,100%,t,Copacabana,1.0,t,t
804664,Bernardo,2011-07-11,within an hour,100%,89%,f,Copacabana,1.0,t,t
1306210,Raphael,2011-10-18,within a day,90%,60%,f,Copacabana,1.0,t,t
1307761,Malí,2011-10-18,,,100%,t,Barra da Tijuca,2.0,t,t
1309444,Sonia,2011-10-18,,,,f,Copacabana,3.0,t,f
1319991,Jake,2011-10-21,within a few hours,100%,67%,f,Vidigal,13.0,t,t
1321287,Helena,2011-10-21,a few days or more,40%,67%,f,Copacabana,2.0,t,t
1348172,Jennifer,2011-10-29,within an hour,100%,100%,t,Santa Teresa,2.0,t,t
1377161,Ana Cristina,2011-11-06,a few days or more,0%,,f,Botafogo,1.0,t,f
