anfitriao_id,anfitriao_nome,anf_data_cadastro,anf_tempo_resposta,anf_taxa_resposta,anf_taxa_aceitacao,super_anfitriao,anf_bairro,anf_num_total_anuncios,anf_foto_perfil,anf_identidade_verificada
3404232,Jonas,2012-08-28,,,,f,Botafogo,1.0,t,t
15337760,Suzana,2014-05-10,within a day,50%,0%,f,Jardim Botânico,2.0,t,t
13452649,Hebert,2014-03-23,,,,f,Engenho Novo,2.0,t,t
15350930,Igor,2014-05-10,,,,f,,1.0,t,t
15350858,Adriana,2014-05-10,a few days or more,0%,,f,Glória,1.0,t,t
15352283,Elder,2014-05-10,within a day,90%,71%,f,Copacabana,0.0,t,f
14640683,Melina,2014-04-23,,,,f,,1.0,t,f
14399645,Flávio,2014-04-17,,,,f,,1.0,t,f
15371748,Renan,2014-05-11,within an hour,100%,100%,f,Leme,2.0,t,f
15371753,Rita De Cassia,2014-05-11,,,,f,,2.0,t,t
10541644,Virginia,2013-12-10,within a few hours,93%,74%,t,Copacabana,8.0,t,t
15384425,Daniela,2014-05-11,,,,f,,1.0,t,f
15390482,Antonio,2014-05-11,,,,f,Andaraí,1.0,t,f
14249032,Juliana,2014-04-13,,,,f,Tijuca,2.0,t,t
10850790,Marcello,2013-12-27,a few days or more,25%,0%,f,Joá,2.0,t,t
15403975,Felipe,2014-05-12,within an hour,100%,100%,t,Copacabana,1.0,t,t
15414208,Ricardo,2014-05-12,,,,f,Leme,2.0,t,f
15051255,Marcelo,2014-05-03,,,,f,,1.0,t,f
15420144,Fernanda,2014-05-12,within a day,100%,57%,f,,1.0,t,t
15421918,Bruno,2014-05-12,,,,f,,0.0,t,t
14242270,Gus,2014-04-13,,,,f,,1.0,t,t
15423088,Bortolini,2014-05-12,within an hour,100%,100%,f,Ipanema,0.0,t,t
15424778,Eliane,2014-05-12,,,,f,,1.0,t,t
15433097,Simone,2014-05-12,within a day,100%,0%,f,Ipanema,1.0,t,t
15438785,Cristina,2014-05-12,,,,f,Copacabana,1.0,t,f
15438799,Gaetano,2014-05-12,,,,f,,1.0,t,f
15440854,Mu,2014-05-12,within a day,100%,,f,Botafogo,1.0,t,t
15441653,Mariana,2014-05-12,,,,f,,1.0,t,t
15441815,Maria Angela,2014-05-12,a few days or more,20%,33%,f,Copacabana,2.0,t,f
2325271,Song Wha,2012-05-08,a few days or more,0%,0%,f,,2.0,t,t
15191957,Aparecida,2014-05-06,within a day,100%,80%,f,,1.0,t,f
1454297,Pilar,2011-11-29,,,,f,,2.0,t,f
15464071,Maxi,2014-05-13,,,,f,Saúde,1.0,t,f
15468956,Hélio,2014-05-13,a few days or more,0%,100%,f,,1.0,t,t
15471963,Alice,2014-05-13,,,,f,Laranjeiras,2.0,t,t
621406,Alexandre,2011-05-24,,,,f,Copacabana,1.0,t,f
15474915,Debora Anne,2014-05-13,a few days or more,0%,,f,,1.0,t,f
15479336,Alvaro,2014-05-13,within an hour,100%,100%,f,Copacabana,2.0,t,t
153629411,Licia,2017-10-07,within an hour,100%,100%,f,,5.0,t,t
15486669,Denise Ferreira De,2014-05-13,,,,f,Botafogo,1.0,t,t
15488907,Samyra,2014-05-13,within a few hours,100%,89%,f,,2.0,t,t
15489614,Severo,2014-05-13,,,,f,,1.0,t,f
15492362,Veronica,2014-05-13,within an hour,100%,98%,f,,4.0,t,t
15396642,Vera,2014-05-11,,,,f,,1.0,t,f
15475304,Marina,2014-05-13,within a few hours,96%,71%,t,Copacabana,18.0,t,t
15493868,Jorge,2014-05-13,,,,f,Santa Teresa,1.0,t,f
15496541,Maria,2014-05-13,,,,f,Vidigal,2.0,t,f
15498064,Jefferson,2014-05-13,,,,f,,1.0,t,f
10979588,Gladys,2014-01-02,,,,f,Tijuca,1.0,t,f
15516567,Rodrigo,2014-05-14,within a few hours,89%,23%,f,Ipanema,3.0,t,t
2876187,Max,2012-07-09,,,100%,f,,1.0,t,t
15236790,Lilian,2014-05-07,,,,f,,1.0,t,f
5347577,RaissaFernandes,2013-03-06,a few days or more,0%,,f,Copacabana,1.0,t,t
15530128,Marcio,2014-05-14,,,,f,,1.0,t,t
13502421,Aloisio,2014-03-24,within an hour,100%,90%,f,Catete,2.0,t,t
15146157,Sandro,2014-05-05,a few days or more,8%,40%,f,Barra da Tijuca,1.0,t,t
15536673,Shalimar,2014-05-14,within an hour,100%,98%,t,Barra da Tijuca,3.0,t,t
15532936,Giovana,2014-05-14,,,,f,,2.0,t,f
15536368,Ricardo,2014-05-14,,,,f,Barra da Tijuca,1.0,t,t
15542512,Getulio,2014-05-14,,,,f,,1.0,t,f
14172884,Demetrio,2014-04-11,within a day,50%,100%,f,Botafogo,6.0,t,f
15576000,Alberto,2014-05-15,,,100%,f,,4.0,t,t
15594514,De Aguiar,2014-05-16,,,,f,,1.0,t,f
15581556,Rita,2014-05-15,,,,f,Maracanã,2.0,t,t
15582284,Roge,2014-05-15,within an hour,100%,99%,f,,2.0,t,t
15582566,Renata,2014-05-15,a few days or more,25%,100%,f,,1.0,t,t
12596481,Selma,2014-02-26,within a day,84%,0%,f,Copacabana,10.0,t,t
9085882,Carlos,2013-09-27,a few days or more,33%,47%,f,Leblon,1.0,t,f
15607447,Fernanda,2014-05-16,,,,f,,1.0,t,f
14452649,Jose,2014-04-18,,,,f,Ipanema,1.0,t,f
15615639,Beatriz,2014-05-16,,,,f,Copacabana,1.0,t,f
10262087,Mary Anne,2013-11-25,within a few hours,100%,97%,t,,4.0,t,t
15637896,Luiz,2014-05-17,,,,f,Tijuca,1.0,t,f
15637811,Antonia,2014-05-17,within an hour,100%,73%,f,Leblon,23.0,t,t
15646327,Munir,2014-05-17,within an hour,100%,100%,f,Leblon,1.0,t,t
4475426,Eduardo,2012-12-23,,,,f,Ipanema,1.0,t,f
15650039,Ernesto,2014-05-17,,,,f,,1.0,t,t
15664461,Simon,2014-05-18,,,,f,Vila Isabel,1.0,t,f
15670158,Cristina,2014-05-18,within an hour,100%,100%,t,,2.0,t,t
15670256,Aparecida,2014-05-18,within a day,80%,100%,f,Copacabana,1.0,t,f
15672610,Tulio,2014-05-18,a few days or more,0%,,f,Copacabana,0.0,t,t
15476913,Silvoca,2014-05-13,,,,f,,2.0,t,f
15684876,Aline,2014-05-18,,,,f,,3.0,t,f
15673082,Renata,2014-05-18,a few days or more,40%,50%,f,Ipanema,1.0,t,t
11398270,Maite,2014-01-17,,,67%,f,Leblon,1.0,t,t
5989120,Marisa,2013-04-18,within an hour,100%,95%,t,Barra da Tijuca,5.0,t,t
15221271,Robson,2014-05-07,a few days or more,20%,25%,f,Copacabana,11.0,t,f
13894518,Gustavo,2014-04-04,within a day,86%,67%,f,Copacabana,2.0,t,f
15716710,Pedro Ivo,2014-05-19,,,,f,,0.0,t,t
1334069,Daniel,2011-10-25,within a few hours,100%,100%,t,Copacabana,1.0,t,t
15720143,Ester,2014-05-19,,,67%,f,Botafogo,1.0,t,t
15723471,Eliane,2014-05-19,a few days or more,0%,,f,,1.0,t,f
15725479,William,2014-05-19,a few days or more,25%,67%,f,Copacabana,1.0,t,t
3607,Ana,2008-10-13,within a few hours,100%,63%,t,,3.0,t,t
15726074,Mario,2014-05-19,,,,f,,2.0,t,f
15737174,Denise,2014-05-19,,,,f,Tijuca,2.0,t,f
15743847,Gabriel,2014-05-19,,,,f,Leme,1.0,t,f
15745691,Jefferson,2014-05-20,a few days or more,0%,100%,f,Copacabana,2.0,t,f
3925117,Thiago,2012-10-20,,,,f,,1.0,t,t
15046902,Daniella,2014-05-03,,,,f,,1.0,t,f
15761982,Gabriela,2014-05-20,within a day,57%,,f,,1.0,t,t
11415072,Gabriela,2014-01-18,,,,t,,2.0,t,t
15773693,Eguinalde,2014-05-20,,,,f,Laranjeiras,1.0,t,f
15777900,Paulo,2014-05-20,,,,f,Benfica,1.0,t,f
9768590,Bruno,2013-11-02,,,,f,,1.0,t,f
15791333,Carlos,2014-05-21,,,,f,,1.0,t,f
14962884,Gilcéa,2014-05-01,,,,f,Guadalupe,1.0,t,f
15794437,Roberta,2014-05-21,a few days or more,0%,,f,Copacabana,0.0,t,t
15805516,Jonas,2014-05-21,within a few hours,100%,0%,f,Glória,1.0,t,t
15807325,Patrícia,2014-05-21,,,,f,Engenho Novo,1.0,t,f
15810205,Luiz,2014-05-21,,,,f,São Conrado,4.0,t,f
14284100,Isabel,2014-04-14,,,,f,,1.0,t,t
15813782,Luanda,2014-05-21,a few days or more,20%,33%,f,Lapa,0.0,t,f
10829920,Carolina,2013-12-26,within an hour,100%,100%,f,Botafogo,1.0,t,t
11647707,Rose,2014-01-26,within a day,88%,78%,f,Santa Teresa,4.0,t,t
15824155,Catarina,2014-05-21,a few days or more,0%,0%,f,Flamengo,1.0,t,t
15824679,All,2014-05-21,a few days or more,0%,,f,,1.0,t,f
15825123,Karen,2014-05-21,,,,f,Glória,1.0,t,f
15830260,Felipe,2014-05-21,within a few hours,89%,100%,f,,2.0,t,t
15833580,Fernanda,2014-05-21,a few days or more,0%,,f,,3.0,t,f
15849408,Marcelo,2014-05-22,within an hour,100%,99%,f,Copacabana,2.0,t,t
10828247,Romulo,2013-12-26,,,,f,Copacabana,1.0,t,f
11070008,BlissRio,2014-01-06,within an hour,100%,97%,t,Copacabana,6.0,t,t
15864313,José Mario,2014-05-22,,,,f,Vidigal,1.0,t,f
3108573,Ana,2012-07-30,within a day,90%,100%,f,,2.0,t,t
15867855,Marcos Cesar,2014-05-22,,,,f,,1.0,t,t
15634855,Teresa,2014-05-17,a few days or more,0%,,f,,1.0,t,f
15868226,Ione Simonetti,2014-05-22,within a few hours,100%,100%,f,Leblon,2.0,t,f
10210365,Lucilene,2013-11-23,within an hour,90%,94%,f,,2.0,t,t
15673599,Claudia,2014-05-18,within an hour,100%,56%,f,,2.0,t,t
12447140,Mariana,2014-02-21,within a day,67%,46%,f,,1.0,t,f
2203768,Wilma,2012-04-23,within an hour,100%,100%,t,Flamengo,1.0,t,t
15900036,Assunção De Fatima,2014-05-23,within an hour,99%,90%,f,Barra da Tijuca,32.0,t,f
15774635,Rosemary,2014-05-20,within a day,83%,50%,f,Ipanema,4.0,t,t
15907658,Francisco,2014-05-23,,,,f,,1.0,t,f
15906263,Andrea,2014-05-23,,,,f,Tijuca,1.0,t,f
15908388,Diego,2014-05-23,,,,f,Copacabana,1.0,t,t
15924343,Sylvio,2014-05-24,within an hour,100%,74%,t,Barra da Tijuca,1.0,t,t
15925361,Eduardo,2014-05-24,within an hour,100%,96%,t,Jardim Botânico,3.0,t,t
15934298,Eloyana,2014-05-24,,,,f,Copacabana,2.0,t,t
15940648,Vanessa,2014-05-24,,,,f,Copacabana,1.0,t,t
15953948,Carlota,2014-05-25,,,,f,Botafogo,1.0,t,t
15956200,Elena,2014-05-25,within an hour,100%,67%,f,Botafogo,2.0,t,f
12728350,Iago,2014-03-02,,,,f,Ipanema,2.0,t,f
9235956,Lucia,2013-10-05,within a few hours,100%,96%,t,,5.0,t,t
15965062,Roberta,2014-05-25,,,,f,,1.0,t,f
15963144,Sonia,2014-05-25,within a day,100%,100%,f,Gávea,1.0,t,f
15970148,Hugo,2014-05-25,within a few hours,100%,94%,t,,1.0,t,t
15971503,Bell,2014-05-25,a few days or more,13%,26%,f,Barra da Tijuca,8.0,t,t
13860299,Lilia,2014-04-03,within a day,83%,91%,f,Flamengo,2.0,t,t
15971841,Lany,2014-05-25,within an hour,100%,100%,t,Cosme Velho,1.0,t,t
15972787,Frederico,2014-05-25,,,,f,,1.0,t,f
15975692,José,2014-05-25,,,,f,São Cristóvão,1.0,t,t
4399830,Bruno,2012-12-13,within a few hours,100%,100%,t,Ipanema,1.0,t,t
15975189,Eloisa,2014-05-25,within an hour,100%,0%,f,,2.0,t,t
15997185,Regina,2014-05-26,within a few hours,90%,68%,f,Leblon,1.0,t,t
16000441,Marcio,2014-05-26,within an hour,100%,100%,f,Laranjeiras,1.0,t,t
15999942,Luiz Paulo,2014-05-26,within a day,50%,0%,f,,2.0,t,t
16002746,Haroldo,2014-05-26,,,,f,Ipanema,1.0,t,f
5422373,Carolina,2013-03-11,a few days or more,30%,53%,f,Ipanema,3.0,t,t
16014532,Gonzalo,2014-05-26,,,,f,,1.0,t,f
12850372,Karina,2014-03-06,,,0%,f,Copacabana,1.0,t,f
16017168,Elza,2014-05-26,within an hour,100%,100%,t,Copacabana,7.0,t,t
16018428,Renzo,2014-05-26,within a few hours,88%,100%,f,Copacabana,4.0,t,f
1812795,Maria Elizabeth,2012-02-26,,,,f,Santa Teresa,1.0,t,f
14209759,Zenyd,2014-04-12,a few days or more,0%,0%,f,,7.0,t,f
16019082,Ivan,2014-05-26,a few days or more,0%,0%,f,Flamengo,1.0,t,f
15976245,Nilma,2014-05-25,within an hour,100%,100%,t,,1.0,t,t
16022634,Emanuele,2014-05-26,,,,f,Copacabana,2.0,t,t
13878786,Fabricio,2014-04-04,,,,f,,1.0,t,f
16037307,Edison,2014-05-27,,,,f,,1.0,t,f
3050767,Andrea,2012-07-25,within a few hours,100%,100%,t,Barra da Tijuca,1.0,t,t
16040532,AlexRioFlats® - Alex & Danielle,2014-05-27,,,,t,Copacabana,5.0,t,t
16044178,Kita,2014-05-27,within a few hours,100%,33%,f,,3.0,t,f
16045631,Tatiana,2014-05-27,within an hour,100%,100%,t,Grajaú,2.0,t,t
16045336,Paulo Cesar,2014-05-27,,,100%,f,Copacabana,1.0,t,t
16045253,Bruno,2014-05-27,within an hour,100%,,f,,1.0,t,t
16058494,Alessandra Et Claude,2014-05-27,,,,f,Tijuca,1.0,t,f
2345756,Stuart,2012-05-11,within a day,100%,100%,f,São Conrado,3.0,t,t
16061800,Rodolfo,2014-05-27,within an hour,100%,100%,t,Copacabana,1.0,t,f
16064460,Rômulo,2014-05-27,within a day,75%,20%,f,Barra da Tijuca,6.0,t,t
16064942,Jean-Pierre,2014-05-27,,,,f,Leblon,1.0,t,f
16065398,Gabriela,2014-05-27,,,,f,Barra da Tijuca,1.0,t,f
15635229,Carlos,2014-05-17,within a few hours,100%,100%,f,Copacabana,3.0,t,t
16069377,Gilvan,2014-05-27,,,,f,,1.0,t,f
16083532,Roberto,2014-05-28,,,,f,Leblon,1.0,t,f
11258003,Maria Fernanda,2014-01-13,a few days or more,0%,,f,Ipanema,1.0,t,f
801572,Par,2011-07-10,within an hour,100%,75%,f,Copacabana,1.0,t,t
16101429,Deirdre Moyra Adelaide,2014-05-28,within a day,80%,92%,f,Copacabana,1.0,t,t
4988826,Patricia,2013-02-06,within an hour,100%,94%,t,,1.0,t,t
16106977,Thais,2014-05-28,a few days or more,38%,51%,f,Copacabana,7.0,t,t
16108129,Eduardo,2014-05-28,,,,f,Copacabana,2.0,t,f
15740871,Adriana,2014-05-19,,,,f,,1.0,t,f
16140822,Stefanie,2014-05-29,,,,f,,1.0,t,f
16141644,Patricia,2014-05-29,within a day,90%,14%,f,Ipanema,1.0,t,f
16149788,Rosali,2014-05-29,within a day,50%,,f,,1.0,t,t
16151568,José Carlos,2014-05-29,within a day,100%,,f,Copacabana,1.0,t,t
8802775,Anna,2013-09-12,a few days or more,0%,100%,f,Barra da Tijuca,2.0,t,f
16104112,Felipe,2014-05-28,a few days or more,0%,11%,f,Penha Circular,4.0,t,t
16136700,Esther,2014-05-29,,,,f,Rocinha,1.0,t,f
5125985,Francisca,2013-02-17,,,,f,Santa Teresa,1.0,t,t
16188382,Igor,2014-05-30,within a day,50%,0%,f,Lapa,2.0,t,f
4240836,Patricia,2012-11-25,,,,f,Copacabana,1.0,t,t
12108066,Marlene,2014-02-10,,,,f,,1.0,t,f
16111552,Claudia,2014-05-28,,,,f,Botafogo,1.0,t,t
16215597,Ana,2014-05-31,,,,f,,1.0,t,f
11107884,Tatiana,2014-01-07,within a few hours,77%,35%,f,Copacabana,8.0,t,t
16218415,Elaine,2014-05-31,,,,f,Vila Isabel,1.0,t,f
16220972,Liliani,2014-05-31,within a day,100%,50%,f,Barra da Tijuca,1.0,t,t
2554836,Andréa & Caio,2012-06-05,within a day,50%,33%,f,Barra da Tijuca,11.0,t,t
16242499,Victor,2014-06-01,within an hour,100%,98%,t,Ipanema,16.0,t,t
15926148,William,2014-05-24,within an hour,100%,98%,t,Copacabana,1.0,t,t
16171782,Luiz,2014-05-30,,,,f,,1.0,t,f
16259352,Caio,2014-06-01,within an hour,100%,0%,f,,1.0,t,f
15607388,Renato,2014-05-16,within a day,100%,100%,f,,1.0,t,t
16218554,Sonia,2014-05-31,,,,f,Copacabana,1.0,t,f
16288720,Eduardo,2014-06-02,,,,f,Andaraí,1.0,t,f
16296585,Hely,2014-06-02,,,100%,f,Botafogo,0.0,t,t
16244135,Robson,2014-06-01,,,,f,,1.0,t,f
16304626,Joao Carlos De Lacerda,2014-06-02,within an hour,100%,100%,t,Ipanema,3.0,t,t
16311145,Giovanni,2014-06-03,within a day,78%,50%,f,Copacabana,3.0,t,t
16315980,Patricia,2014-06-03,,,,f,Copacabana,4.0,t,f
16327453,Rafael,2014-06-03,a few days or more,0%,20%,f,Copacabana,1.0,t,t
16303181,Luciana,2014-06-02,a few days or more,30%,0%,f,Laranjeiras,1.0,t,f
14647739,Antonio,2014-04-23,within a few hours,100%,100%,t,Vila Mariana,2.0,t,t
2019936,Giorgio,2012-03-27,within an hour,100%,97%,t,Lapa,3.0,t,t
16348291,Wan,2014-06-03,a few days or more,0%,,f,,1.0,t,f
16323335,Marcia,2014-06-03,within an hour,100%,100%,t,,1.0,t,t
16353645,Luiza,2014-06-03,within an hour,100%,80%,f,Ipanema,1.0,t,t
7708252,Stella Maris,2013-07-24,a few days or more,0%,,f,,1.0,t,f
16367873,Naruna,2014-06-04,within a few hours,90%,100%,t,Ipanema,1.0,t,f
16370446,Eduardo,2014-06-04,,,,f,,1.0,t,f
16378976,Ricardo,2014-06-04,,,100%,t,Copacabana,3.0,t,t
16402712,Michele,2014-06-04,within an hour,100%,92%,f,Recreio dos Bandeirantes,1.0,t,t
16419436,André,2014-06-05,,,,f,Copacabana,1.0,t,t
400293,Seppo,2011-02-19,within an hour,100%,100%,t,Copacabana,3.0,t,t
16424171,Sandra,2014-06-05,,,,f,Botafogo,1.0,t,f
16429497,Igor,2014-06-05,,,,f,,1.0,t,f
15825482,Eduardo,2014-05-21,within an hour,100%,100%,t,Copacabana,1.0,t,t
16441714,Diego,2014-06-05,,,,f,,1.0,t,t
16442077,Sylvio,2014-06-05,,,,f,,1.0,t,f
16443628,André Luiz,2014-06-05,a few days or more,20%,33%,f,Botafogo,1.0,t,t
16478317,Marcelo,2014-06-06,within a day,57%,0%,f,Copacabana,1.0,t,t
494964,Beatriz,2011-04-08,,,,f,,4.0,t,t
15906132,Livia,2014-05-23,a few days or more,33%,,f,,1.0,t,t
1863194,Delfina,2012-03-05,,,,f,,2.0,t,t
16536468,Fabiana,2014-06-08,within an hour,100%,100%,t,Copacabana,1.0,t,t
16540908,Daniela,2014-06-08,,,,f,,1.0,t,f
16545585,Celia,2014-06-08,within a few hours,58%,96%,f,Copacabana,10.0,t,f
16546567,Sergio,2014-06-08,,,,f,,1.0,t,f
13264678,Alexandre,2014-03-18,a few days or more,40%,0%,f,,1.0,t,f
15675115,Luis Fell,2014-05-18,within a day,50%,49%,f,,9.0,t,t
5724104,Valentina,2013-04-01,,,,t,Barra da Tijuca,1.0,t,t
5487034,Isabella,2013-03-16,within a day,80%,37%,t,,1.0,t,t
16579905,Sacha,2014-06-09,within a day,100%,,f,Barra da Tijuca,1.0,t,t
7708283,Cintia,2013-07-24,a few days or more,0%,33%,f,,2.0,t,f
4596143,Camilla,2013-01-05,within a day,90%,100%,t,Botafogo,2.0,t,f
7878402,Piero,2013-08-01,within an hour,100%,94%,t,Ipanema,2.0,t,t
16634262,Lysia Cristina,2014-06-10,,,,f,,2.0,t,t
3570280,Marcio,2012-09-14,within an hour,100%,100%,f,Copacabana,1.0,t,t
16634521,Carla,2014-06-10,,,,f,,4.0,t,f
16638006,Patricia,2014-06-10,,,,f,,1.0,t,f
16076498,Daisy,2014-05-28,a few days or more,0%,0%,f,,1.0,t,t
16640113,Regina Maria,2014-06-10,,,,f,Botafogo,1.0,t,f
16644256,Franklin,2014-06-11,a few days or more,20%,0%,f,Barra da Tijuca,1.0,t,f
16644567,Alessandro,2014-06-11,within a few hours,100%,94%,f,,3.0,t,t
16661824,Zenite,2014-06-11,,,,f,Pavuna,1.0,t,f
16670298,Sayonara,2014-06-11,,,,f,,1.0,t,f
15969922,Teresa,2014-05-25,within an hour,100%,,f,,1.0,t,t
15489992,Rodrigo,2014-05-13,a few days or more,0%,50%,f,,4.0,t,f
3919182,Fabiano,2012-10-19,,,,f,Flamengo,1.0,t,t
15539389,,,,,,,,,,
16784678,Cláudia,2014-06-14,within a few hours,100%,92%,t,Leme,1.0,t,t
16784675,Alexandre,2014-06-14,,,,f,,1.0,t,f
16751254,Marcela / Ingrid,2014-06-13,a few days or more,43%,25%,f,,2.0,t,t
16840968,Mark,2014-06-16,a few days or more,0%,71%,f,,0.0,t,t
105298605,Gugo,2016-11-27,within a few hours,100%,,f,,2.0,t,t
16854237,Paulo,2014-06-16,a few days or more,0%,,f,Urca,1.0,t,f
16818142,Bruno,2014-06-15,,,,f,Ipanema,1.0,t,t
3921565,Eleonora,2012-10-19,a few days or more,25%,13%,f,Greenpoint,2.0,t,t
15139047,Daniel,2014-05-05,,,,f,Leblon,1.0,t,t
16944833,Maria,2014-06-18,within a few hours,94%,85%,f,Santa Teresa,5.0,t,t
16949263,Paulo,2014-06-18,,,,f,,1.0,t,t
17003126,Nuno,2014-06-19,within an hour,100%,99%,f,Copacabana,2.0,t,t
17015020,Julia,2014-06-19,within a day,100%,90%,t,Copacabana,2.0,t,t
12864745,Ferrones,2014-03-06,within an hour,100%,76%,f,Copacabana,2.0,t,t
17050817,Casa,2014-06-20,,,,f,,1.0,t,f
15897559,Magaly,2014-05-23,,,,f,,4.0,t,t
17073759,Jean,2014-06-21,,,,f,Copacabana,1.0,t,f
16969222,Cláudia,2014-06-18,within a day,78%,100%,f,,5.0,t,t
17083589,Edi,2014-06-21,,,,f,,1.0,t,f
17091032,Marcia,2014-06-22,,,,f,,1.0,t,f
6724763,Sissi E Pedro,2013-06-03,within an hour,100%,100%,f,Copacabana,1.0,t,t
17124468,Alfredo,2014-06-22,,,,f,,1.0,t,f
17128551,Mauro,2014-06-22,within a day,50%,,f,Flamengo,1.0,t,t
17129618,Luana,2014-06-22,within a day,100%,89%,t,Copacabana,2.0,t,f
16425381,Carmen,2014-06-05,a few days or more,0%,0%,f,Laranjeiras,1.0,t,f
16539367,Julia,2014-06-08,,,,f,,1.0,t,f
13530621,Keyla,2014-03-25,,,,f,Copacabana,1.0,t,t
17044229,Diana,2014-06-20,a few days or more,0%,,f,Copacabana,1.0,t,t
2148022,Bea,2012-04-15,,,,t,Copacabana,1.0,t,t
17269014,Hugo Leonardo,2014-06-25,within an hour,100%,100%,t,,1.0,t,t
17272650,Fritz,2014-06-26,a few days or more,0%,,f,,4.0,t,f
17283004,Denise,2014-06-26,within a day,67%,0%,f,Copacabana,5.0,t,t
17265809,Marcelo,2014-06-25,within a day,74%,45%,f,Copacabana,2.0,t,t
16396950,Claudia,2014-06-04,,,,f,Gávea,1.0,t,f
17307697,Viviani,2014-06-26,within a few hours,100%,,f,,1.0,t,f
4889266,Sandra,2013-01-29,,,,f,São Conrado,1.0,t,t
17397297,Pedro,2014-06-29,,,,f,Copacabana,1.0,t,f
7217526,Daniela,2013-07-01,a few days or more,0%,0%,f,,2.0,t,t
17476037,Tania,2014-06-30,within an hour,100%,100%,t,Santa Teresa,1.0,t,t
17468604,Maite,2014-06-30,,,,f,,1.0,t,t
17525151,Rita,2014-07-01,,,,f,Santa Teresa,1.0,t,f
17526707,Maria Regina,2014-07-01,within an hour,100%,0%,f,,1.0,t,t
4780133,Lorenzo,2013-01-20,within a few hours,94%,60%,f,Copacabana,3.0,t,t
7765509,Fabrício,2013-07-27,,,,f,,1.0,t,f
17555798,José Luiz,2014-07-02,within an hour,100%,,f,,1.0,t,t
17569328,Luiz Felipe,2014-07-02,,,,f,Barra da Tijuca,1.0,t,f
13132354,Gabriel,2014-03-14,within a day,67%,33%,f,Copacabana,2.0,t,t
1821199,Al,2012-02-27,within an hour,100%,100%,f,Ipanema,2.0,t,t
17598963,Denise,2014-07-03,within a day,60%,,f,,1.0,t,t
15909291,Glória,2014-05-23,a few days or more,0%,,f,Santa Teresa,2.0,t,f
973276,Susie,2011-08-15,,,,f,Ipanema,1.0,t,t
17087087,Vinícius,2014-06-21,within a few hours,89%,93%,t,,1.0,t,t
17630269,Moniky,2014-07-04,a few days or more,44%,0%,f,Copacabana,1.0,t,t
17651126,Dayse,2014-07-04,,,,f,Vila Isabel,1.0,t,f
14731644,Juanita,2014-04-25,a few days or more,13%,0%,f,Joá,4.0,t,t
5584753,Kewpie,2013-03-23,within a few hours,100%,91%,f,Flamengo,1.0,t,t
17714543,Hakumi,2014-07-06,,,0%,f,,1.0,t,f
15533343,Yuri,2014-05-14,within an hour,100%,100%,t,Copacabana,15.0,t,t
13718449,Márcio,2014-03-31,a few days or more,0%,100%,f,Botafogo,9.0,t,t
17655276,Maria Isabel,2014-07-04,within a few hours,100%,80%,f,Flamengo,2.0,t,t
7565570,Linda,2013-07-18,within an hour,100%,100%,t,Catete,5.0,t,t
8252775,Sheila,2013-08-19,,,,f,,1.0,t,t
17859222,Davide,2014-07-09,,,,f,Copacabana,2.0,t,t
17867371,Alvamari,2014-07-09,within a day,90%,100%,f,,2.0,t,t
17870028,Nilo,2014-07-09,within an hour,100%,100%,t,Copacabana,1.0,t,f
17884037,Marilena,2014-07-09,a few days or more,0%,0%,f,Ipanema,1.0,t,t
17889432,Fátima,2014-07-09,within a day,50%,0%,f,,3.0,t,f
17922966,João,2014-07-10,,,,f,Lagoa,1.0,t,f
17938534,Paulo,2014-07-10,within a day,50%,50%,f,Humaitá,2.0,t,t
17965241,Marcia,2014-07-11,,,,f,Leme,1.0,t,t
12474438,Aurea,2014-02-22,within a few hours,90%,100%,f,,1.0,t,t
18113353,Sergio,2014-07-14,,,100%,f,Barra da Tijuca,1.0,t,t
18142581,Fatima,2014-07-15,within a day,60%,33%,f,Copacabana,0.0,t,t
14365285,Patricia,2014-04-16,,,,f,Leblon,2.0,t,t
10699635,Soninha,2013-12-18,a few days or more,0%,0%,f,,2.0,t,t
18163601,Luiz Felipe,2014-07-15,,,,f,Botafogo,1.0,t,t
18256402,Liana,2014-07-17,,,,f,,1.0,t,t
18274553,Vinicios,2014-07-17,within a day,100%,,f,,1.0,t,f
18283076,Armando,2014-07-17,,,,f,,2.0,t,t
6588436,Rodrigo,2013-05-26,,,,f,,1.0,t,t
17007319,Martin,2014-06-19,within a few hours,100%,82%,t,Lapa,2.0,t,t
18393128,Patricia,2014-07-19,within a few hours,78%,25%,f,Botafogo,1.0,t,f
18401716,Ipanema,2014-07-19,within a few hours,100%,33%,t,Ipanema,1.0,t,t
9365676,Ane & Sergio,2013-10-11,,,,f,Copacabana,5.0,t,t
18405174,Gustavo,2014-07-19,within a few hours,86%,100%,t,Ipanema,2.0,t,t
11552909,Ricardo,2014-01-22,,,,f,,1.0,t,t
18670494,Analia,2014-07-22,within a day,100%,36%,f,Copacabana,1.0,t,t
18833362,Vanessa,2014-07-24,a few days or more,40%,0%,f,Barra da Tijuca,1.0,t,t
18947849,Vania Maria,2014-07-26,within a day,67%,,f,Copacabana,1.0,t,f
15618442,Cecilia,2014-05-16,within a day,100%,33%,f,,3.0,t,t
10122044,Eduardo,2013-11-19,within an hour,100%,82%,f,Ipanema,5.0,t,t
19097160,Andréa,2014-07-29,within an hour,100%,70%,f,Copacabana,1.0,t,f
12201599,Rainer,2014-02-13,,,,f,,2.0,t,f
