anfitriao_id,anf_data_cadastro,id_anuncio,nome_anuncio,bairro,tipo_propriedade,tipo_acomodacao,numero_hospedes,quartos,camas,preco,min_noites,max_noites,disponivel,numero_avaliaçoes,pontuacao_avaliacoes,confirmacao_instantanea
361834776,2020-08-11,51091220,Cobertura 02 suites no coraçao de Copacabana,Copacabana,Entire rental unit,Entire home/apt,4,2.0,2.0,500.0,3,45,t,0,,t
75941109,2016-06-05,51101706,Apartamento aconchegante em Copacabana - 2 quartos,Copacabana,Entire rental unit,Entire home/apt,5,2.0,0.0,150.0,1,1125,t,1,5.0,f
126023988,2017-04-15,51104730,Loft encantador em Copacabana,Copacabana,Entire loft,Entire home/apt,2,1.0,2.0,200.0,2,30,t,1,5.0,f
180298777,2018-03-24,51106479,Rio Leblon Beach 250m - excellent location!,Leblon,Entire condominium (condo),Entire home/apt,6,3.0,3.0,405.0,4,1125,t,1,5.0,f
413546408,2021-07-17,51106757,"Lindo apartamento aconchegante no coração de Copacabana!!! Localização privilegiada da praia, metrô,  bares e restaurantes.",Copacabana,Entire condominium (condo),Entire home/apt,4,1.0,2.0,700.0,2,1125,t,1,5.0,t
113997985,2017-01-30,51107125,Charmoso e silencioso apto com varanda em Botafogo,Botafogo,Entire condominium (condo),Entire home/apt,2,1.0,1.0,197.0,3,40,t,1,5.0,f
413559844,2021-07-17,51108380,Apartamento do Leandro Proença - Anil,Anil,Entire rental unit,Entire home/apt,1,1.0,1.0,65.0,1,365,t,0,,t
413570865,2021-07-17,51109748,Recanto do pôr do sol,Barra de Guaratiba,Entire rental unit,Entire home/apt,4,1.0,2.0,151.0,1,1125,t,2,5.0,f
397106841,2021-04-15,51116918,"Apartment with services, a couple steps from the beach",Ipanema,Entire rental unit,Entire home/apt,4,1.0,3.0,305.0,1,365,t,0,,t
397106841,2021-04-15,51118677,Jumpinbed - Leblon Quarto com banheiro privativo e vista do mar.,Leblon,Private room in rental unit,Private room,2,1.0,2.0,242.0,1,365,t,0,,t
413658824,2021-07-18,51118780,Lovely 2 bedroom on the Beach Avenue,Copacabana,Entire condominium (condo),Entire home/apt,4,2.0,1.0,162.0,5,365,t,0,,f
